Category,City,Country/Region,Customer ID,Customer Name,Order Date,Order ID,Order Profitable?,Postal Code,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Profit,Quantity,Sales,Sales Forecast
Furniture,Yonkers,United States,KD-16270,Karen Daniels,1/03/2021,US-2021-143819,Profitable,10701,FUR-TA-10001095,Chromcraft Round Conference Tables,East,1083,Consumer,5/03/2021,Standard Class,Shipped Early,New York,Tables,4,6,40.00%,-265,8,837,1253
Office Supplies,Yonkers,United States,KD-16270,Karen Daniels,1/03/2021,US-2021-143819,Profitable,10701,OFF-PA-10003127,Easy-staple paper,East,1084,Consumer,5/03/2021,Standard Class,Shipped Early,New York,Paper,4,6,0.00%,12,1,26,40
Office Supplies,Yonkers,United States,KD-16270,Karen Daniels,1/03/2021,US-2021-143819,Profitable,10701,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,East,1085,Consumer,5/03/2021,Standard Class,Shipped Early,New York,Storage,4,6,0.00%,105,2,363,544
Technology,Yonkers,United States,KD-16270,Karen Daniels,1/03/2021,US-2021-143819,Profitable,10701,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,East,1086,Consumer,5/03/2021,Standard Class,Shipped Early,New York,Machines,4,6,0.00%,2401,7,4900,7338
Office Supplies,Des Moines,United States,LC-16870,Lena Cacioppo,12/08/2021,CA-2021-167584,Profitable,50315,OFF-PA-10000029,Xerox 224,Central,1087,Consumer,12/08/2021,Same Day,Shipped On Time,Iowa,Paper,0,0,0.00%,3,1,6,10
Technology,Oakland,United States,CY-12745,Craig Yedwab,15/08/2021,CA-2021-166163,Profitable,94601,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),West,1088,Corporate,20/08/2021,Second Class,Shipped Late,California,Phones,5,3,20.00%,7,3,72,108
Office Supplies,Oakland,United States,CY-12745,Craig Yedwab,15/08/2021,CA-2021-166163,Profitable,94601,OFF-LA-10000452,Avery 488,West,1089,Corporate,20/08/2021,Second Class,Shipped Late,California,Labels,5,3,0.00%,2,1,3,5
Furniture,Monroe,United States,LW-16990,Lindsay Williams,4/06/2022,CA-2022-158407,Profitable,28110,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,South,1090,Corporate,10/06/2022,Standard Class,Shipped On Time,North Carolina,Furnishings,6,6,20.00%,2,2,32,48
Technology,Monroe,United States,LW-16990,Lindsay Williams,4/06/2022,CA-2022-158407,Profitable,28110,TEC-PH-10001819,Innergie mMini Combo Duo USB Travel Charging Kit,South,1091,Corporate,10/06/2022,Standard Class,Shipped On Time,North Carolina,Phones,6,6,20.00%,25,2,72,108
Office Supplies,San Diego,United States,NP-18325,Naresj Patel,6/12/2020,CA-2020-143490,Profitable,92105,OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,West,1092,Consumer,13/12/2020,Standard Class,Shipped Late,California,Art,7,6,0.00%,34,9,120,180
Technology,San Diego,United States,NP-18325,Naresj Patel,6/12/2020,CA-2020-143490,Profitable,92105,TEC-PH-10000576,AT&T 1080 Corded phone,West,1093,Consumer,13/12/2020,Standard Class,Shipped Late,California,Phones,7,6,20.00%,19,2,219,328
Office Supplies,Clinton,United States,BT-11485,Brad Thomas,27/12/2020,CA-2020-165085,Profitable,20735,OFF-PA-10000605,Xerox 1950,East,1094,Home Office,31/12/2020,Standard Class,Shipped Early,Maryland,Paper,4,6,0.00%,14,5,29,43
Office Supplies,Clinton,United States,BT-11485,Brad Thomas,27/12/2020,CA-2020-165085,Profitable,20735,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,East,1095,Home Office,31/12/2020,Standard Class,Shipped Early,Maryland,Appliances,4,6,0.00%,103,2,356,533
Office Supplies,Charlotte,United States,PS-19045,Penelope Sewall,21/01/2022,CA-2022-160423,Profitable,28205,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",South,1096,Home Office,26/01/2022,Standard Class,Shipped Early,North Carolina,Storage,5,6,20.00%,30,7,348,521
Office Supplies,Charlotte,United States,PS-19045,Penelope Sewall,21/01/2022,CA-2022-160423,Profitable,28205,OFF-BI-10004001,GBC Recycled VeloBinder Covers,South,1097,Home Office,26/01/2022,Standard Class,Shipped Early,North Carolina,Binders,5,6,70.00%,-29,7,36,54
Furniture,Los Angeles,United States,NS-18640,Noel Staavos,25/06/2019,CA-2019-159338,Profitable,90049,FUR-TA-10004147,Hon 4060 Series Tables,West,1098,Corporate,28/06/2019,First Class,Shipped Late,California,Tables,3,1,20.00%,11,5,448,671
Office Supplies,San Francisco,United States,PV-18985,Paul Van Hugh,14/06/2021,CA-2021-107216,Profitable,94122,OFF-AR-10001545,Newell 326,West,1099,Home Office,17/06/2021,First Class,Shipped Late,California,Art,3,1,0.00%,2,4,7,11
Furniture,San Francisco,United States,PV-18985,Paul Van Hugh,14/06/2021,CA-2021-107216,Profitable,94122,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",West,1100,Home Office,17/06/2021,First Class,Shipped Late,California,Furnishings,3,1,0.00%,4,3,9,13
Technology,San Francisco,United States,PV-18985,Paul Van Hugh,14/06/2021,CA-2021-107216,Profitable,94122,TEC-AC-10001013,Logitech ClearChat Comfort/USB Headset H390,West,1101,Home Office,17/06/2021,First Class,Shipped Late,California,Accessories,3,1,0.00%,10,1,29,44
Office Supplies,San Francisco,United States,PV-18985,Paul Van Hugh,14/06/2021,CA-2021-107216,Profitable,94122,OFF-AR-10002255,Newell 346,West,1102,Home Office,17/06/2021,First Class,Shipped Late,California,Art,3,1,0.00%,3,3,9,13
Office Supplies,Houston,United States,RP-19390,Resi Pölking,21/04/2022,US-2022-145863,Unprofitable,77041,OFF-BI-10004140,Avery Non-Stick Binders,Central,1103,Consumer,27/04/2022,Standard Class,Shipped On Time,Texas,Binders,6,6,80.00%,-5,3,3,4
Office Supplies,Houston,United States,RP-19390,Resi Pölking,21/04/2022,US-2022-145863,Unprofitable,77041,OFF-BI-10002049,UniKeep View Case Binders,Central,1104,Consumer,27/04/2022,Standard Class,Shipped On Time,Texas,Binders,6,6,80.00%,-5,3,3,4
Office Supplies,Riverside,United States,NM-18520,Neoma Murray,21/10/2021,CA-2021-112340,Profitable,92503,OFF-PA-10001892,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",West,1105,Consumer,27/10/2021,Standard Class,Shipped On Time,California,Paper,6,6,0.00%,11,3,23,34
Office Supplies,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,OFF-ST-10000642,"Tennsco Lockers, Gray",Central,1106,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Storage,5,6,20.00%,-16,6,101,151
Furniture,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Central,1107,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Furnishings,5,6,60.00%,-1,2,2,3
Office Supplies,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Central,1108,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Binders,5,6,80.00%,-17,5,11,16
Office Supplies,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,OFF-FA-10003495,Staples,Central,1109,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Fasteners,5,6,20.00%,22,12,58,87
Office Supplies,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,OFF-EN-10003798,"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",Central,1110,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Envelopes,5,6,20.00%,14,3,41,61
Technology,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,TEC-PH-10003589,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Central,1111,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Phones,5,6,20.00%,25,5,72,108
Office Supplies,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,OFF-PA-10004735,Xerox 1905,Central,1112,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Paper,5,6,20.00%,4,2,10,16
Office Supplies,Houston,United States,EH-13945,Eric Hoffmann,19/11/2021,US-2021-110156,Profitable,77041,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Central,1113,Consumer,24/11/2021,Standard Class,Shipped Early,Texas,Binders,5,6,80.00%,-2,2,1,2
Office Supplies,Encinitas,United States,RA-19915,Russell Applegate,18/12/2022,CA-2022-140585,Profitable,92024,OFF-BI-10003364,Binding Machine Supplies,West,1114,Consumer,23/12/2022,Second Class,Shipped Late,California,Binders,5,3,20.00%,16,2,47,70
Furniture,Encinitas,United States,RA-19915,Russell Applegate,18/12/2022,CA-2022-140585,Profitable,92024,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",West,1115,Consumer,23/12/2022,Second Class,Shipped Late,California,Bookcases,5,3,15.00%,-13,1,120,179
Technology,Encinitas,United States,RA-19915,Russell Applegate,18/12/2022,CA-2022-140585,Profitable,92024,TEC-AC-10003610,Logitech Illuminated - Keyboard,West,1116,Consumer,23/12/2022,Second Class,Shipped Late,California,Accessories,5,3,0.00%,58,2,120,180
Office Supplies,San Francisco,United States,DL-13495,Dionis Lloyd,22/07/2021,CA-2021-144855,Profitable,94110,OFF-LA-10003766,Self-Adhesive Removable Labels,West,1117,Corporate,24/07/2021,Second Class,Shipped Early,California,Labels,2,3,0.00%,3,2,6,9
Office Supplies,Roswell,United States,CS-12355,Christine Sundaresam,4/09/2020,CA-2020-142755,Profitable,30076,OFF-PA-10001970,Xerox 1908,South,1118,Consumer,8/09/2020,Standard Class,Shipped Early,Georgia,Paper,4,6,0.00%,137,5,280,419
Technology,Roswell,United States,CS-12355,Christine Sundaresam,4/09/2020,CA-2020-142755,Profitable,30076,TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,South,1119,Consumer,8/09/2020,Standard Class,Shipped Early,Georgia,Accessories,4,6,0.00%,112,5,620,928
Office Supplies,Roswell,United States,CS-12355,Christine Sundaresam,4/09/2020,CA-2020-142755,Profitable,30076,OFF-PA-10000141,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",South,1120,Consumer,8/09/2020,Standard Class,Shipped Early,Georgia,Paper,4,6,0.00%,2,2,4,7
Office Supplies,Roswell,United States,CS-12355,Christine Sundaresam,4/09/2020,CA-2020-142755,Profitable,30076,OFF-EN-10004459,Security-Tint Envelopes,South,1121,Consumer,8/09/2020,Standard Class,Shipped Early,Georgia,Envelopes,4,6,0.00%,7,2,15,23
Technology,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/2019,US-2019-147627,Profitable,72401,TEC-PH-10001061,Apple iPhone 5C,South,1122,Consumer,26/01/2019,Standard Class,Shipped On Time,Arkansas,Phones,6,6,0.00%,182,7,700,1048
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/2019,US-2019-147627,Profitable,72401,OFF-AR-10002375,Newell 351,South,1123,Consumer,26/01/2019,Standard Class,Shipped On Time,Arkansas,Art,6,6,0.00%,7,7,23,34
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/2019,US-2019-147627,Profitable,72401,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,1124,Consumer,26/01/2019,Standard Class,Shipped On Time,Arkansas,Furnishings,6,6,0.00%,12,4,39,58
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/2019,US-2019-147627,Profitable,72401,OFF-AR-10003811,Newell 327,South,1125,Consumer,26/01/2019,Standard Class,Shipped On Time,Arkansas,Art,6,6,0.00%,2,3,7,10
Office Supplies,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/2019,US-2019-147627,Profitable,72401,OFF-EN-10001539,Staple envelope,South,1126,Consumer,26/01/2019,Standard Class,Shipped On Time,Arkansas,Envelopes,6,6,0.00%,11,3,23,35
Furniture,Jonesboro,United States,HL-15040,Hunter Lopez,20/01/2019,US-2019-147627,Profitable,72401,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,1127,Consumer,26/01/2019,Standard Class,Shipped On Time,Arkansas,Chairs,6,6,0.00%,224,3,1068,1599
Office Supplies,Richmond,United States,PA-19060,Pete Armstrong,2/03/2020,CA-2020-105970,Profitable,47374,OFF-AR-10003156,50 Colored Long Pencils,Central,1128,Home Office,7/03/2020,Standard Class,Shipped Early,Indiana,Art,5,6,0.00%,3,1,10,15
Office Supplies,Richmond,United States,PA-19060,Pete Armstrong,2/03/2020,CA-2020-105970,Profitable,47374,OFF-EN-10001532,Brown Kraft Recycled Envelopes,Central,1129,Home Office,7/03/2020,Standard Class,Shipped Early,Indiana,Envelopes,5,6,0.00%,51,6,102,153
Furniture,Springfield,United States,BD-11605,Brian Dahlen,12/04/2021,CA-2021-112102,Profitable,22153,FUR-TA-10004086,KI Adjustable-Height Table,South,1130,Consumer,16/04/2021,Standard Class,Shipped Early,Virginia,Tables,4,6,0.00%,76,4,344,515
Office Supplies,Springfield,United States,BD-11605,Brian Dahlen,12/04/2021,CA-2021-112102,Profitable,22153,OFF-PA-10000100,Xerox 1945,South,1131,Consumer,16/04/2021,Standard Class,Shipped Early,Virginia,Paper,4,6,0.00%,20,1,41,61
Office Supplies,Springfield,United States,BD-11605,Brian Dahlen,12/04/2021,CA-2021-112102,Profitable,22153,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,South,1132,Consumer,16/04/2021,Standard Class,Shipped Early,Virginia,Envelopes,4,6,0.00%,29,5,64,96
Office Supplies,Antioch,United States,GG-14650,Greg Guthrie,6/12/2021,US-2021-114776,Profitable,94509,OFF-PA-10004100,Xerox 216,West,1133,Corporate,7/12/2021,First Class,Shipped On Time,California,Paper,1,1,0.00%,9,3,19,29
Office Supplies,Philadelphia,United States,JS-15940,Joni Sundaresam,5/06/2021,US-2021-134908,Unprofitable,19134,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",East,1134,Home Office,9/06/2021,Standard Class,Shipped Early,Pennsylvania,Storage,4,6,20.00%,-23,4,125,187
Office Supplies,Philadelphia,United States,JS-15940,Joni Sundaresam,5/06/2021,US-2021-134908,Unprofitable,19134,OFF-LA-10000973,Avery 502,East,1135,Home Office,9/06/2021,Standard Class,Shipped Early,Pennsylvania,Labels,4,6,20.00%,3,3,8,11
Office Supplies,Homestead,United States,LR-16915,Lena Radford,11/12/2021,US-2021-148803,Profitable,33030,OFF-ST-10001476,Steel Personal Filing/Posting Tote,South,1136,Consumer,11/12/2021,Same Day,Shipped On Time,Florida,Storage,0,0,20.00%,7,3,85,128
Office Supplies,La Porte,United States,FH-14275,Frank Hawley,12/11/2021,CA-2021-152170,Profitable,46350,OFF-EN-10002831,"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",Central,1137,Corporate,15/11/2021,Second Class,Shipped On Time,Indiana,Envelopes,3,3,0.00%,129,8,288,431
Office Supplies,La Porte,United States,FH-14275,Frank Hawley,12/11/2021,CA-2021-152170,Profitable,46350,OFF-AP-10002350,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Central,1138,Corporate,15/11/2021,Second Class,Shipped On Time,Indiana,Appliances,3,3,0.00%,11,2,38,56
Office Supplies,La Porte,United States,FH-14275,Frank Hawley,12/11/2021,CA-2021-152170,Profitable,46350,OFF-PA-10001763,Xerox 1896,Central,1139,Corporate,15/11/2021,Second Class,Shipped On Time,Indiana,Paper,3,3,0.00%,9,2,20,30
Office Supplies,La Porte,United States,FH-14275,Frank Hawley,12/11/2021,CA-2021-152170,Profitable,46350,OFF-AR-10003394,Newell 332,Central,1140,Corporate,15/11/2021,Second Class,Shipped On Time,Indiana,Art,3,3,0.00%,6,7,21,31
Office Supplies,La Porte,United States,FH-14275,Frank Hawley,12/11/2021,CA-2021-152170,Profitable,46350,OFF-BI-10002072,Cardinal Slant-D Ring Binders,Central,1141,Corporate,15/11/2021,Second Class,Shipped On Time,Indiana,Binders,3,3,0.00%,9,2,17,26
Furniture,Los Angeles,United States,AP-10915,Arthur Prichep,29/09/2019,CA-2019-146969,Profitable,90045,FUR-FU-10004188,Luxo Professional Combination Clamp-On Lamps,West,1142,Consumer,3/10/2019,Standard Class,Shipped Early,California,Furnishings,4,6,0.00%,53,2,205,306
Office Supplies,Los Angeles,United States,AP-10915,Arthur Prichep,29/09/2019,CA-2019-146969,Profitable,90045,OFF-FA-10001561,Stockwell Push Pins,West,1143,Consumer,3/10/2019,Standard Class,Shipped Early,California,Fasteners,4,6,0.00%,3,4,9,13
Office Supplies,Los Angeles,United States,AP-10915,Arthur Prichep,29/09/2019,CA-2019-146969,Profitable,90045,OFF-PA-10002105,Xerox 223,West,1144,Consumer,3/10/2019,Standard Class,Shipped Early,California,Paper,4,6,0.00%,3,1,6,10
Technology,Los Angeles,United States,AP-10915,Arthur Prichep,29/09/2019,CA-2019-146969,Profitable,90045,TEC-MA-10004241,Star Micronics TSP800 TSP847IIU Receipt Printer,West,1145,Consumer,3/10/2019,Standard Class,Shipped Early,California,Machines,4,6,20.00%,223,2,686,1028
Office Supplies,Los Angeles,United States,AP-10915,Arthur Prichep,29/09/2019,CA-2019-146969,Profitable,90045,OFF-ST-10004340,"Fellowes Mobile File Cart, Black",West,1146,Consumer,3/10/2019,Standard Class,Shipped Early,California,Storage,4,6,0.00%,17,1,62,93
Office Supplies,Lansing,United States,NC-18340,Nat Carroll,4/04/2020,CA-2020-112452,Profitable,48911,OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Central,1147,Consumer,4/04/2020,Same Day,Shipped On Time,Michigan,Appliances,0,0,10.00%,107,2,644,965
Office Supplies,Lansing,United States,NC-18340,Nat Carroll,4/04/2020,CA-2020-112452,Profitable,48911,OFF-FA-10000735,Staples,Central,1148,Consumer,4/04/2020,Same Day,Shipped On Time,Michigan,Fasteners,0,0,0.00%,3,2,6,9
Office Supplies,Lansing,United States,NC-18340,Nat Carroll,4/04/2020,CA-2020-112452,Profitable,48911,OFF-BI-10003350,Acco Expandable Hanging Binders,Central,1149,Consumer,4/04/2020,Same Day,Shipped On Time,Michigan,Binders,0,0,0.00%,6,2,13,19
Technology,Lansing,United States,NC-18340,Nat Carroll,4/04/2020,CA-2020-112452,Profitable,48911,TEC-PH-10000307,Shocksock Galaxy S4 Armband,Central,1150,Consumer,4/04/2020,Same Day,Shipped On Time,Michigan,Phones,0,0,0.00%,0,1,11,16
Technology,Lansing,United States,NC-18340,Nat Carroll,4/04/2020,CA-2020-112452,Profitable,48911,TEC-CO-10004202,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Central,1151,Consumer,4/04/2020,Same Day,Shipped On Time,Michigan,Copiers,0,0,0.00%,210,2,600,899
Furniture,Cuyahoga Falls,United States,CB-12535,Claudia Bergmann,8/05/2020,CA-2020-113971,Profitable,44221,FUR-FU-10001852,"Eldon Regeneration Recycled Desk Accessories, Smoke",East,1152,Corporate,14/05/2020,Standard Class,Shipped On Time,Ohio,Furnishings,6,6,20.00%,1,6,8,13
Office Supplies,Reno,United States,KL-16555,Kelly Lampkin,31/12/2021,CA-2021-160395,Profitable,89502,OFF-AR-10003759,"Crayola Anti Dust Chalk, 12/Pack",West,1153,Corporate,6/01/2022,Standard Class,Shipped On Time,Nevada,Art,6,6,0.00%,2,2,4,5
Office Supplies,Reno,United States,KL-16555,Kelly Lampkin,31/12/2021,CA-2021-160395,Profitable,89502,OFF-BI-10003984,Lock-Up Easel 'Spel-Binder',West,1154,Corporate,6/01/2022,Standard Class,Shipped On Time,Nevada,Binders,6,6,20.00%,54,7,160,239
Office Supplies,Harrisonburg,United States,PS-19045,Penelope Sewall,20/12/2019,CA-2019-136567,Profitable,22801,OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",South,1155,Home Office,21/12/2019,First Class,Shipped On Time,Virginia,Storage,1,1,0.00%,0,2,122,183
Furniture,Harrisonburg,United States,PS-19045,Penelope Sewall,20/12/2019,CA-2019-136567,Profitable,22801,FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",South,1156,Home Office,21/12/2019,First Class,Shipped On Time,Virginia,Tables,1,1,0.00%,494,7,2244,3361
Office Supplies,Harrisonburg,United States,PS-19045,Penelope Sewall,20/12/2019,CA-2019-136567,Profitable,22801,OFF-BI-10003982,Wilson Jones Century Plastic Molded Ring Binders,South,1157,Home Office,21/12/2019,First Class,Shipped On Time,Virginia,Binders,1,1,0.00%,29,3,62,93
Furniture,Harrisonburg,United States,PS-19045,Penelope Sewall,20/12/2019,CA-2019-136567,Profitable,22801,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",South,1158,Home Office,21/12/2019,First Class,Shipped On Time,Virginia,Tables,1,1,0.00%,100,2,455,682
Furniture,Los Angeles,United States,GB-14530,George Bell,2/07/2021,CA-2021-149314,Profitable,90004,FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,West,1159,Corporate,7/07/2021,Second Class,Shipped Late,California,Chairs,5,3,20.00%,20,1,195,292
Office Supplies,Minneapolis,United States,AA-10315,Alex Avila,29/06/2022,CA-2022-147039,Profitable,55407,OFF-AP-10000576,"Belkin 325VA UPS Surge Protector, 6'",Central,1160,Consumer,4/07/2022,Standard Class,Shipped Early,Minnesota,Appliances,5,6,0.00%,91,3,363,544
Office Supplies,Minneapolis,United States,AA-10315,Alex Avila,29/06/2022,CA-2022-147039,Profitable,55407,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Central,1161,Consumer,4/07/2022,Standard Class,Shipped Early,Minnesota,Binders,5,6,0.00%,6,2,12,17
Office Supplies,Escondido,United States,LT-16765,Larry Tron,1/09/2019,CA-2019-126522,Profitable,92025,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",West,1162,Consumer,5/09/2019,Second Class,Shipped Late,California,Art,4,3,0.00%,16,3,54,81
Technology,New York City,United States,AP-10720,Anne Pryor,3/03/2019,CA-2019-127964,Profitable,10035,TEC-PH-10004700,PowerGen Dual USB Car Charger,East,1163,Home Office,8/03/2019,Standard Class,Shipped Early,New York,Phones,5,6,0.00%,5,1,10,15
Office Supplies,New York City,United States,AP-10720,Anne Pryor,3/03/2019,CA-2019-127964,Profitable,10035,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,East,1164,Home Office,8/03/2019,Standard Class,Shipped Early,New York,Binders,5,6,20.00%,41,3,126,188
Office Supplies,New York City,United States,AP-10720,Anne Pryor,3/03/2019,CA-2019-127964,Profitable,10035,OFF-BI-10003429,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",East,1165,Home Office,8/03/2019,Standard Class,Shipped Early,New York,Binders,5,6,20.00%,9,5,25,38
Office Supplies,Jackson,United States,PM-18940,Paul MacIntyre,4/05/2019,CA-2019-117709,Profitable,49201,OFF-BI-10001294,Fellowes Binding Cases,Central,1166,Consumer,8/05/2019,Standard Class,Shipped Early,Michigan,Binders,4,6,0.00%,21,4,47,70
Technology,Seattle,United States,KC-16540,Kelly Collister,2/11/2020,CA-2020-125416,Profitable,98115,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,1167,Consumer,2/11/2020,Same Day,Shipped On Time,Washington,Accessories,0,0,0.00%,49,9,448,671
Furniture,New York City,United States,DL-13315,Delfina Latchford,8/12/2022,CA-2022-145226,Profitable,10035,FUR-FU-10004952,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",East,1168,Consumer,10/12/2022,Second Class,Shipped Early,New York,Furnishings,2,3,0.00%,34,2,109,164
Office Supplies,New York City,United States,DL-13315,Delfina Latchford,8/12/2022,CA-2022-145226,Profitable,10035,OFF-ST-10004123,Safco Industrial Wire Shelving System,East,1169,Consumer,10/12/2022,Second Class,Shipped Early,New York,Storage,2,3,0.00%,0,3,273,409
Office Supplies,New York City,United States,DL-13315,Delfina Latchford,8/12/2022,CA-2022-145226,Profitable,10035,OFF-PA-10003172,Xerox 1996,East,1170,Consumer,10/12/2022,Second Class,Shipped Early,New York,Paper,2,3,0.00%,9,3,19,29
Office Supplies,New York City,United States,DL-13315,Delfina Latchford,8/12/2022,CA-2022-145226,Profitable,10035,OFF-ST-10002352,Iris Project Case,East,1171,Consumer,10/12/2022,Second Class,Shipped Early,New York,Storage,2,3,0.00%,8,4,32,48
Office Supplies,Royal Oak,United States,SW-20275,Scott Williamson,10/03/2019,US-2019-100279,Profitable,48073,OFF-PA-10002259,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Central,1172,Consumer,14/03/2019,Standard Class,Shipped Early,Michigan,Paper,4,6,0.00%,11,2,22,34
Office Supplies,Los Angeles,United States,AA-10375,Allen Armold,21/04/2019,CA-2019-158064,Profitable,90008,OFF-BI-10002976,ACCOHIDE Binder by Acco,West,1173,Consumer,25/04/2019,Standard Class,Shipped Early,California,Binders,4,6,20.00%,6,5,17,25
Office Supplies,Bloomington,United States,LT-17110,Liz Thompson,22/10/2020,US-2020-104430,Unprofitable,61701,OFF-BI-10000301,GBC Instant Report Kit,Central,1174,Consumer,26/10/2020,Standard Class,Shipped Early,Illinois,Binders,4,6,80.00%,-8,4,5,8
Office Supplies,New York City,United States,DP-13105,Dave Poirier,22/08/2020,CA-2020-132080,Profitable,10035,OFF-BI-10003694,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",East,1175,Corporate,25/08/2020,First Class,Shipped Late,New York,Binders,3,1,20.00%,16,6,50,75
Office Supplies,Concord,United States,AB-10060,Adam Bellavance,29/08/2021,CA-2021-161207,Profitable,3301,OFF-SU-10000381,Acme Forged Steel Scissors with Black Enamel Handles,East,1176,Home Office,3/09/2021,Standard Class,Shipped Early,New Hampshire,Supplies,5,6,0.00%,8,3,28,42
Office Supplies,Los Angeles,United States,AT-10435,Alyssa Tate,27/12/2019,CA-2019-120243,Profitable,90004,OFF-LA-10004425,Staple-on labels,West,1177,Home Office,30/12/2019,Second Class,Shipped On Time,California,Labels,3,3,0.00%,5,4,12,17
Furniture,Rockville,United States,JE-15745,Joel Eaton,1/12/2021,CA-2021-113621,Profitable,20852,FUR-CH-10001270,Harbour Creations Steel Folding Chair,East,1178,Consumer,5/12/2021,Standard Class,Shipped Early,Maryland,Chairs,4,6,0.00%,52,2,173,258
Technology,Rockville,United States,JE-15745,Joel Eaton,1/12/2021,CA-2021-113621,Profitable,20852,TEC-PH-10003931,JBL Micro Wireless Portable Bluetooth Speaker,East,1179,Consumer,5/12/2021,Standard Class,Shipped Early,Maryland,Phones,4,6,0.00%,45,3,180,270
Technology,Houston,United States,CA-12055,Cathy Armstrong,24/04/2021,CA-2021-168081,Profitable,77070,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Central,1180,Home Office,27/04/2021,Second Class,Shipped On Time,Texas,Accessories,3,3,20.00%,65,3,259,387
Technology,Lakewood,United States,DB-13060,Dave Brooks,21/06/2019,CA-2019-128146,Profitable,8701,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,East,1181,Consumer,25/06/2019,Standard Class,Shipped Early,New Jersey,Phones,4,6,0.00%,357,7,1323,1981
